title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Kiss Me First,2017,Cyberpunk,"Tallulah Haddon,Simona Brown,Matthew Beard",5730690,tv mini series,Company Name Match,6.3,3202
Dragons: Rescue Riders: Secrets of the Songwing,2020,Comedies,"Noah Kaye Bentley,Brennley Brown,Zach Callison",12599350,tv movie,year and actor match,6.7,56
Queer Eye: We're in Japan!,2019,Reality TV,"Bobby Berk,Karamo Brown,Tan France",10971532,tv series,year and actor match,8.3,1654
45 rpm,2019,Spanish-language TV Programmes,"Carlos Cuevas,Guiomar Puerta,Iván Marcos",8987918,tv series,year and actor match,7.3,334
Jeff Dunham: Relative Disaster,2017,Stand-up & Chat Shows,Jeff Dunham,7364706,movie,year and actor match,6.4,1082
Stranger Things,2016,Teen Programmes,"Winona Ryder,David Harbour,Finn Wolfhard",4574334,tv series,year and actor match,8.8,759834
Making a Murderer,2015,Social & Cultural Documentaries,,5189670,tv series,year match,8.6,84141
Prank Encounters,2019,Reality TV,Gaten Matarazzo,10487072,tv series,year and actor match,5,1783
Jo Koy: Comin' In Hot,2019,Stand-up & Chat Shows,Jo Koy,10377036,movie,year and actor match,7.3,692
Extracurricular,2020,Crime TV Dramas,"Kim Dong-hee,Jung Da-bin,Park Ju-hyun",10262630,tv series,year and actor match,7.7,1530
Extraction,2020,Action Thrillers,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda",8936646,movie,year and actor match,6.7,138842
"Tiger King: Murder, Mayhem and Madness",2020,Critically-acclaimed Documentaries,,11823076,tv mini series,year match,7.6,59631
The Hollow,2018,Canadian TV Programmes,"Ashleigh Ball,Connor Parnall,Adrian Petriw",6193336,tv series,year and actor match,7.2,3125
Next in Fashion,2020,Reality TV,"Tan France,Alexa Chung",10394770,tv series,year and actor match,7.3,2208
The Mr. Peabody and Sherman Show,2015,Animal Tales,"Chris Parnell,Max Charles,Dieter Jansen",5021206,tv series,year and actor match,5.7,312
