title,year,genre,actor,imdb_id,kind,matched_by,rating,votes
Jinn,2019,Teen Programmes,"Salma Malhas,Sultan Alkhail,Hamzeh Okab",8923396,tv series,year and actor match,3.5,9217
Invader Zim: Enter the Florpus,2019,Comedies,"Richard Steven Horvitz,Rikki Simons,Andy Berman",6739094,tv movie,year and actor match,7.5,4509
The InBESTigators,2019,Kids' TV for ages 8 to 10,"Abby Bergman,Anna Cooke,Aston Droomer",9332962,tv series,year and actor match,7.8,325
Glitch,2015,Award-winning TV Programmes,"Patrick Brammall,Genevieve O'Reilly,Emma Booth",4192782,tv series,year and actor match,7.4,13739
Dating Around,2019,Reality TV,,9654080,tv series,year match,6.3,928
Paradise PD,2018,Comedy Programmes,"Tom Kenny,David Herman,Sarah Chalke",8235236,tv series,year and actor match,6.9,12272
the goop lab with Gwyneth Paltrow,2020,Reality TV,"Gwyneth Paltrow,Elise Loehnen",11561206,tv series,year and actor match,2.4,2610
Terrace House: Aloha State,2016,Reality TV,"You,Reina Triendl,Ryota Yamasato",6588218,tv series,year and actor match,7.4,780
How to Fix a Drug Scandal,2020,Social & Cultural Documentaries,,11958942,tv mini series,year match,6.9,1804
Night on Earth,2020,Science & Nature TV,Samira Wiley,11497922,tv mini series,year and actor match,8.2,2608
Klaus,2019,Comedies,"Jason Schwartzman,J.K. Simmons,Rashida Jones",4729430,movie,year and actor match,8.2,73926
World's Most Wanted,2020,French TV Programmes,,12753698,tv series,year match,7.2,711
Medal of Honor,2018,Military Documentaries,"Oliver Hudson,Ben Schwartz,Paul Wesley",7440274,tv series,year and actor match,8.4,1278
Atypical,2017,Comedy Programmes,"Jennifer Jason Leigh,Keir Gilchrist,Michael Rapaport",6315640,tv series,year and actor match,8.3,54515
Wu Assassins,2019,Action & Adventure Programmes,"Iko Uwais,Katheryn Winnick,Byron Mann",8652642,tv series,year and actor match,6.4,8930
V Wars,2019,TV Shows Based on Comics,"Ian Somerhalder,Adrian Holmes,Jacky Lai",7403736,tv series,year and actor match,6.1,11030
La Niña,2016,Action & Adventure Programmes,"Ana María Estupiñán,Sebastián Eslava,Juan Sebastián Aragón",5677942,tv series,year and actor match,8.6,532
Marvel's The Punisher,2017,Action & Adventure Programmes,"Jon Bernthal,Ben Barnes,Amber Rose Revah",5675620,tv series,year and actor match,8.5,174191
Super Monsters,2017,Little Kids,"Erin Mathews,Alessandro Juliani,Andrea Libman",6214876,tv series,year and actor match,6.7,319
Big Mouth,2017,Sitcoms,"Nick Kroll,John Mulaney,Jessi Klein",6524350,tv series,year and actor match,8,49633
Set It Up,2018,Romantic Comedies,"Zoey Deutch,Glen Powell,Lucy Liu",5304992,movie,year and actor match,6.5,39871
All For Love,2020,TV Soaps,"Ana María Estupiñán,Carlos Torres,Yuri Vargas",10347886,tv series,year and actor match,7.2,51
The Valhalla Murders,2020,Series,"Nína Dögg Filippusdóttir,Björn Thors,Bergur Ebbi",9100822,tv series,Company Name Match,7.1,6071
Rita,2012,Comedy Programmes,"Mille Dinesen,Lise Baastrup,Carsten Bjørnlund",1973692,tv series,year and actor match,8.1,6065
Nobody's Looking,2019,Brazilian TV Programmes,"Victor Lamoglia,Júlia Rabello,Kéfera Buchmann",11131980,tv series,year and actor match,7.9,1079
AJ and the Queen,2020,Comedy Programmes,"RuPaul Charles,Izzy G.,Michael-Leon Wooley",8404094,tv series,year and actor match,7.5,5933
Fuller House,2016,Series,"Candace Cameron Bure,Jodie Sweetin,Andrea Barber",3986586,tv series,year and actor match,6.8,24107
Bolívar,2019,Spanish-language TV Programmes,"Luis Gerónimo Abreu,José Ramón Barreto,Shany Nadan",9327242,tv series,year and actor match,7.5,557
THE UNLISTED,2019,Kids' TV for ages 8 to 10,"Vrund Rao,Ved Rao,Abigail Adriano",9184592,tv series,year and actor match,6.4,385
Wakfu,2008,Kids' TV for ages 8 to 10,"Fanny Bloc,Jules De Jongh,Patrick Béthune",1807824,tv series,year and actor match,8.2,1095
Hospital Playlist,2020,Korean Programmes,"Cho Jung-seok,Yoo Yeon-seok,Jung Kyung-ho",11769304,tv series,year and actor match,8.7,866
Rotten,2018,Social & Cultural Documentaries,,7763662,tv series,year match,7.2,2729
Spectros,2020,Teen Programmes,"Danilo Mesquita,Cláudia Okuno,Mariana Sena",10145110,tv series,year and actor match,4.4,270
My First First Love,2019,Korean Programmes,"Ji Soo,Jung Chae-yeon,Jinyoung",8995604,tv series,year and actor match,7.6,1099
Alias Grace,2017,Canadian TV Programmes,"Sarah Gadon,Edward Holcroft,Paul Gross",1034007,tv mini series,year and actor match,7.8,23599
The Rain,2018,Danish TV Programmes,"Alba August,Lucas Lynggaard Tønnesen,Mikkel Boe Følsgaard",6656238,tv series,year and actor match,6.3,27242
Hache,2019,Spanish-language TV Programmes,"Adriana Ugarte,Javier Rey,Eduardo Noriega",8575476,tv series,year and actor match,6.3,773
Yankee,2019,Spanish-language TV Programmes,"Pablo Lyle,Ana Layevska,Leonardo Daniel",9046782,tv series,year and actor match,6,438
Monarca,2019,Mexican TV Programmes,"Irene Azuela,Juan Manuel Bernal,Osvaldo Benavides",8655736,tv series,year and actor match,8,1216
Sugar High,2020,Children & Family Films,Hunter March,12806000,movie,year and actor match,7.9,36
Dragons: Rescue Riders,2019,TV Cartoons,"Nicolas Cantu,Brennley Brown,Zach Callison",10687134,tv series,year and actor match,6,147
John Mulaney: Kid Gorgeous at Radio City,2018,Stand-up & Chat Shows,John Mulaney,8271714,movie,year and actor match,7.9,5574
Pacific Heat,2016,Sitcoms,"Rob Sitch,Santo Cilauro,Tom Gleisner",6283542,tv series,year and actor match,5.7,1056
Paul Hollywood's Big Continental Road Trip,2017,Social & Cultural Documentaries,Paul Hollywood,7936386,tv series,year and actor match,7.5,120
The Laundromat,2019,Comedies,"Meryl Streep,Gary Oldman,Antonio Banderas",5865326,movie,year and actor match,6.3,40479
Ugly Delicious,2018,Social & Cultural Documentaries,"David Chang,Peter Meehan",7907916,tv series,year and actor match,7.8,2866
The Last Kingdom,2015,Action & Adventure Programmes,"Alexander Dreymon,Emily Cox,David Dawson",4179452,tv series,year and actor match,8.4,75468
Triad Princess,2019,Taiwanese TV Programmes,"Eugenie Liu,Jasper Liu,Cecilia Choi",9314996,tv series,year and actor match,7,332
Suburra: Blood on Rome,2017,International Programmes,"Alessandro Borghi,Giacomo Ferrara,Eduardo Valdarnini",7197684,tv series,year and actor match,8,9119
The Ranch,2016,Sitcoms,"Ashton Kutcher,Sam Elliott,Debra Winger",4998212,tv series,year and actor match,7.5,32374
Immigration Nation,2020,Social & Cultural Documentaries,,12754910,tv series,year match,7.1,549
Narcos,2015,Series,"Wagner Moura,Pedro Pascal,Boyd Holbrook",2707408,tv series,year and actor match,8.8,338562
After Life,2019,British TV Dramas,"Ricky Gervais,Tom Basden,Tony Way",8398600,tv series,year and actor match,8.5,76962
Into the Night,2020,Drama Programmes,"Pauline Etienne,Laurent Capelluto,Stefano Cassetti",10919486,tv series,year and actor match,7.1,17436
I Am Not Okay With This,2020,Comedy Programmes,"Sophia Lillis,Wyatt Oleff,Kathleen Rose Perkins",9446688,tv series,year and actor match,7.6,33610
Sierra Burgess Is a Loser,2018,Teen Comedies,"Shannon Purser,Kristine Froseth,RJ Cyler",3120280,movie,year and actor match,5.8,33267
The English Game,2020,British TV Dramas,"Edward Holcroft,Kevin Guthrie,Charlotte Hope",8403664,tv mini series,year and actor match,7.6,9610
Longmire,2012,Crime TV Dramas,"Robert Taylor,Katee Sackhoff,Lou Diamond Phillips",1836037,tv series,year and actor match,8.3,27936
The Babysitter,2017,Horror Comedy,"Samara Weaving,Hana Mae Lee,Judah Lewis",4225622,movie,year and actor match,6.3,59059
Criminal: France,2019,Mystery Programmes,"Margot Bancilhon,Laurent Lucas,Stéphane Jobert",10986052,tv series,year and actor match,7.2,2368
Octonauts & the Caves of Sac Actun,2020,Films Based on Children's Books,"Teresa Gallagher,Simon Greenall,Keith Wickham",12759408,movie,year and actor match,6.5,22
Malibu Rescue: The Series,2019,Action & Adventure Programmes,"Ricardo Hurtado,Breanna Yde,Jackie R. Jacobson",9098432,tv series,year and actor match,5.2,631
Street Food: Asia,2019,Social & Cultural Documentaries,,10050778,tv series,year match,8,1895
Hollywood,2020,LGBTQ TV Programmes,"David Corenswet,Jeremy Pope,Darren Criss",9827854,tv mini series,year and actor match,7.6,24673
The OA,2016,Mystery Programmes,"Brit Marling,Jason Isaacs,Emory Cohen",4635282,tv series,year and actor match,7.9,86330
Maniac,2018,Comedy Programmes,"Emma Stone,Jonah Hill,Justin Theroux",5580146,tv mini series,year and actor match,7.8,61622
Pandemic: How to Prevent an Outbreak,2020,Social & Cultural Documentaries,,11497904,tv series,year match,6.3,2379
Cursed,2020,Action & Adventure Programmes,"Katherine Langford,Devon Terrell,Gustaf Skarsgård",8210856,tv series,year and actor match,5.8,16840
Crazyhead,2016,Comedy Programmes,"Cara Theobold,Susan Wokoma,Riann Steele",6038584,tv series,year and actor match,7.3,4143
Feel Good,2020,Comedy Programmes,"Mae Martin,Charlotte Ritchie,Lisa Kudrow",10098620,tv series,year and actor match,7.5,3394
The Society,2019,Drama Programmes,"Kathryn Newton,Gideon Adlon,Sean Berdy",8778064,tv series,year and actor match,7,16635
Jeff Dunham: Beside Himself,2019,Stand-up & Chat Shows,Jeff Dunham,10847194,movie,year and actor match,6.8,799
The Ballad of Buster Scruggs,2018,Comedies,"Liam Neeson,James Franco,Tim Blake Nelson",6412452,movie,year and actor match,7.3,114309
Medical Police,2020,Action & Adventure Programmes,"Erinn Hayes,Rob Huebel,Malin Akerman",9850952,tv series,year and actor match,5.9,3222
Chip and Potato,2019,Canadian TV Programmes,"Abigail Oliver,Andrea Libman,Briana Buckmaster",9897038,tv series,Company Name Match,6.9,78
Taj Mahal 1989,2020,Comedy Programmes,"Neeraj Kabi,Geetanjali Kulkarni,Danish Husain",11725706,tv series,year and actor match,7.5,1003
Locke & Key,2020,Action & Adventure Programmes,"Darby Stanchfield,Connor Jessup,Emilia Jones",3007572,tv series,year and actor match,7.4,35148
Heavy Rescue: 401,2016,Canadian TV Programmes,Dave Pettitt,6385418,tv series,year and actor match,6.9,217
The Stranded,2019,Action & Adventure Programmes,"Papangkorn Lerkchaleampote,Chayanit Chansangavej,Chutavuth Pattarakampol",9310400,tv series,year and actor match,6.3,842
Inside Bill's Brain: Decoding Bill Gates,2019,Biographical Documentaries,Bill Gates,10837476,tv mini series,year and title match,8,7962
A Fall from Grace,2020,Crime Dramas,"Crystal Fox,Phylicia Rashad,Cicely Tyson",11390036,movie,year and actor match,5.8,9931
The Main Event,2020,Comedies,"Seth Carr,Tichina Arnold,Adam Pally",10540242,movie,year and actor match,4.7,1589
Traitors,2019,British TV Dramas,"Emma Appleton,Michael Stuhlbarg,Luke Treadaway",7371896,tv series,year and actor match,6.6,2135
Stay Here,2018,Travel & Adventure Reality TV,"Genevieve Gorder,Peter Lorimer",8773338,tv series,year and actor match,7.5,778
Cheer,2020,Reality TV,,11426660,tv series,year match,8.2,3563
MeatEater,2012,Science & Nature TV,Steven Rinella,2169245,tv series,year and actor match,7.9,868
Travelers,2016,Canadian TV Programmes,"Eric McCormack,MacKenzie Porter,Nesta Cooper",5651844,tv series,year and actor match,8.1,42584
Ever After High,2013,Kids' TV for ages 8 to 10,"Jonquil Goode,Karen Strassman,Audu Paden",3312378,tv series,year and actor match,8,597
Betaal,2020,Action & Adventure Programmes,"Viineet Kumar,Aahana Kumra,Suchitra Pillai",10651790,tv series,year and actor match,5.3,7185
Mythomaniac,2019,French TV Programmes,"Marina Hands,Mathieu Demy,Marie Drion",10677432,tv series,year and actor match,6.8,667
Cuckoo,2012,Sitcoms,"Greg Davies,Taylor Lautner,Andie MacDowell",2222352,tv series,year and actor match,7.3,7519
Bodyguard,2018,Series,"Richard Madden,Keeley Hawes,Gina McKee",7493974,tv series,year and actor match,8.1,86751
Shaun the Sheep: Adventures from Mossy Bottom,2020,TV Cartoons,"John Sparkes,Justin Fletcher,Marcus Brigstocke",11983342,tv series,year and actor match,8,158
The Rise of Phoenixes,2018,TV Programmes Based on Books,"Chen Kun,Ni Ni,Zhao Lixin",7052634,tv series,year and actor match,8.6,1045
Fauda,2015,Action & Adventure Programmes,"Lior Raz,Hisham Suliman,Shadi Mar'i",4565380,tv series,year and actor match,8.2,16422
The World's Most Extraordinary Homes,2017,Travel & Adventure Reality TV,"Piers Taylor,Caroline Quentin",7804132,tv series,year and actor match,7.6,2576
Fugitiva,2018,International Programmes,"Paz Vega,Julio Bracho,Arantza Ruiz",7158972,tv series,year and actor match,5.6,469
Ragnarok,2020,Action & Adventure Programmes,"David Stakston,Herman Tømmeraas,Theresa Frostad Eggesbø",9251798,tv series,year and actor match,7.5,16942
The House of Flowers,2018,Mexican TV Programmes,"Cecilia Suárez,Aislinn Derbez,Darío Yazbek",8387348,tv series,year and actor match,7.7,6253
Inspector Gadget,2015,Canadian TV Programmes,"Ivan Sherry,Tara Strong,Martin Roach",3910690,tv series,year and actor match,4.4,407
GLOW,2017,Series,"Alison Brie,Betty Gilpin,Marc Maron",5770786,tv series,year and actor match,8,38130
Sacred Games,2018,Mystery Programmes,"Saif Ali Khan,Nawazuddin Siddiqui,Pankaj Tripathi",6077448,tv series,year and actor match,8.7,69131
Tidelands,2018,Australian TV Programmes,"Charlotte Best,Elsa Pataky,Marco Pigossi",6898970,tv series,year and actor match,7,6122
Signs,2018,Polish TV Programmes,"Andrzej Konopka,Helena Sujecka,Piotr Trojan",8917248,tv series,year and actor match,6.2,450
Sam Jay: 3 In The Morning,2020,Stand-up & Chat Shows,Sam Jay,12689876,movie,year and actor match,6,185
Well-Intended Love,2019,Comedy Programmes,"Xu Kaicheng,Simona Wang,Ian Yi",9886950,tv series,year and actor match,7.4,801
Fearless,2020,Children & Family Films,"Yara Shahidi,Miles Robbins,Miguel J. Pimentel",8675288,movie,year and actor match,4.7,188
Project Mc²,2015,Kids' TV for ages 8 to 10,"Mika Abdalla,Genneya Walton,Victoria Vida",4861760,tv series,year and actor match,5.9,677
Freud,2020,Series,"Robert Finster,Ella Rumpf,Georg Friedrich",8667956,tv series,year and actor match,6.5,8563
White Lines,2020,British TV Dramas,"Laura Haddock,Nuno Lopes,Marta Milans",9073958,tv series,year and actor match,6.6,11878
The Last Kids on Earth,2019,Canadian TV Programmes,"Nick Wolfhard,Charles Demers,Garland Whitt",8914012,tv series,year and actor match,7.5,608
The Disappearance of Madeleine McCann,2019,True Crime Documentaries,,9879074,tv series,year match,6.6,7556
Can You Hear Me?,2019,Canadian TV Programmes,"Mélissa Bédard,Ève Landry,Florence Longpré",11019806,movie,year and title match,,
Jack Whitehall: Travels with My Father,2017,Comedy Programmes,"Jack Whitehall,Michael Whitehall",7453996,tv series,year and actor match,7.7,3338
Love Alarm,2019,Teen Romance,"Kim So-hyun,Jung Ga-ram,Song Kang",9145880,tv series,year and actor match,7.4,1527
Connected,2020,Science & Nature TV,Latif Nasser,7979580,movie,year and title match,,
The Last Summer,2019,Teen Comedies,"K.J. Apa,Maia Mitchell,Tyler Posey",7957694,movie,year and actor match,5.6,10277
Handsome Siblings,2020,Chinese  Programmes,"Hu Yitian,Chen Zheyuan,Liang Jie",11541444,tv series,year and actor match,8.2,337
The Do-Over,2016,Comedies,"Adam Sandler,David Spade,Paula Patton",4769836,movie,year and actor match,5.7,38613
The Old Guard,2020,Critically-acclaimed Films,"Charlize Theron,KiKi Layne,Marwan Kenzari",7556122,movie,year and actor match,6.7,88392
Diablero,2018,Mexican TV Programmes,"Christopher Von Uckermann,Horacio García Rojas,Gisselle Kuri",7414954,tv series,year and actor match,6.6,2035
Formula 1: Drive to Survive,2019,Sports & Fitness,,8289930,tv series,year match,8.6,15888
The Politician,2019,Comedy Programmes,"Ben Platt,Gwyneth Paltrow,Jessica Lange",7971476,tv series,year and actor match,7.6,16305
Unbelievable,2019,Award-winning TV Programmes,"Toni Collette,Merritt Wever,Kaitlyn Dever",7909970,tv mini series,year and actor match,8.4,62348
Spirit Riding Free: Riding Academy,2020,Animal Tales,"Amber Frank,Bailey Gambertoglio,Sydney Park",11942070,tv series,year and actor match,7.3,21
Kevin Hart: Don’t F**k This Up,2019,Biographical Documentaries,,11313054,tv series,year match,6.5,1591
Quicksand,2019,International Programmes,"Hanna Ardéhn,Felix Sandman,William Spetz",8686106,tv series,year and actor match,7.5,14713
Falling Inn Love,2019,Romantic Comedies,"Christina Milian,Adam Demos,Jeffrey Bowyer-Chapman",9860728,movie,year and actor match,5.6,13970
Little Evil,2017,Horror Comedy,"Adam Scott,Evangeline Lilly,Bridget Everett",2937366,movie,year and actor match,5.7,18111
Nailed It! Spain,2019,Reality TV,"La Terremoto de Alcorcón,Christian Escribà",10981666,tv series,year and actor match,5.6,57
Black,2017,Mystery Programmes,"Song Seung-heon,Go A-ra,Lee El",7298976,tv series,year and actor match,8,2322
When They See Us,,Mystery Programmes,Asante Blackk,7137906,tv mini series,actor match,8.9,80780
The Chef Show,2019,Social & Cultural Documentaries,"Jon Favreau,Roy Choi",10359446,tv series,year and actor match,8.2,3415
True and the Rainbow Kingdom,2017,Canadian TV Programmes,"Michela Luci,Jamie Watson,Anna Claire Bartlam",5607658,tv series,year and actor match,7.1,343
"Game Over, Man!",2018,Comedies,"Adam Devine,Anders Holm,Blake Anderson",3317234,movie,year and actor match,5.4,25077
Captive,2016,Crime Documentaries,,6246500,tv series,year match,7,507
Everything Sucks!,2018,Sitcoms,"Jahi Di'Allo Winston,Peyton Kennedy,Patch Darragh",7078710,tv series,year and actor match,7.5,14055
I Lost My Body,2019,Romantic Dramas,"Hakim Faris,Victoire Du Bois,Patrick d'Assumçao",9806192,movie,year and actor match,7.6,23657
Seriously Single,2020,International Films,"Fulu Mugovhani,Tumi Morake,Bohang Moeko",11010144,movie,year and actor match,4.2,636
Bordertown,2016,Series,"Ville Virtanen,Matleena Kuusniemi,Anu Sinisalo",4937942,tv series,year and actor match,7.6,6393
Aggretsuko: We Wish You a Metal Christmas,2018,Anime,"Kaolip,Shingo Kato,Komegumi Koiwasaki",9416906,episode,year and actor match,7.5,200
Perfume,2018,Mystery Programmes,"Friederike Becht,August Diehl,Wotan Wilke Möhring",6811236,tv series,year and actor match,7.1,6588
Deadwind,2018,Series,"Pihla Viitala,Lauri Tilkanen,Mimosa Willamo",6616260,tv series,year and actor match,7.2,4948
Call My Agent!,2015,French TV Programmes,"Camille Cottin,Thibault de Montalembert,Grégory Montel",4277922,tv series,year and actor match,8.3,4972
Black Earth Rising,2018,Mystery Programmes,"Michaela Coel,John Goodman,Abena Ayivor",7660730,tv series,year and actor match,7.4,3477
Memories of the Alhambra,2018,Korean Programmes,"Hyun Bin,Park Shin-hye,Park Hoon",8236556,tv series,year and actor match,7.8,2829
The Trials of Gabriel Fernandez,2020,Social & Cultural Documentaries,,11822998,tv mini series,year match,8.2,6271
My Holo Love,2020,Korean Programmes,"Yoon Hyun-min,Ko Sung-hee,Choi Yeo-jin",11058644,tv series,year and actor match,7.7,840
The Midnight Gospel,2020,Comedy Programmes,"Duncan Trussell,Phil Hendrie,Drew Pinsky",11639414,tv series,year and actor match,8.3,9200
BONDING,2019,Comedy Programmes,"Zoe Levin,Brendan Scannell,Micah Stock",8333266,movie,year and title match,,
Floor Is Lava,2020,Reality TV,Rutledge Wood,12370124,tv series,year and actor match,5.2,1368
Katt Williams: Great America,2018,Stand-up & Chat Shows,Katt Williams,7752054,movie,year and actor match,6.1,817
The Order,2019,Canadian TV Programmes,"Jake Manley,Sarah Grey,Louriza Tronco",8295472,tv series,year and actor match,6.8,17642
The Adventures of Puss in Boots,2015,TV Cartoons,"Eric Bauza,Jayma Mays,Grey DeLisle",3807034,tv series,year and actor match,6.7,1286
Trailer Park Boys,2001,Canadian TV Programmes,"Mike Smith,John Paul Tremblay,Robb Wells",290988,tv series,year and actor match,8.4,36137
Mako Mermaids: An H2O Adventure,2013,Kids' TV for ages 8 to 10,"Lucy Fry,Ivy Latimer,Amy Ruffle",2548214,tv series,year and actor match,6.9,3035
Curon,2020,Drama Programmes,"Valeria Bilello,Luca Lionello,Federico Russo",10101518,tv series,year and actor match,5.8,2482
Baby Ballroom,2017,Reality TV,"Warren Bullock,Jane Bullock",8159960,tv series,year and actor match,7.8,138
Our Planet,2019,Award-winning TV Programmes,David Attenborough,9253866,tv mini series,year and actor match,9.3,27848
Flaked,2016,Comedy Programmes,"Will Arnett,David Sullivan,Ruth Kearney",4973548,tv series,year and actor match,7.2,10066
Desperados,2020,Quirky Romance,"Nasim Pedrad,Anna Camp,Lamorne Morris",1545304,movie,year and actor match,5.2,6500
The Victims' Game,2020,Taiwanese TV Programmes,"Joseph Chang,Hsu Wei-ning,Jason Wang",12079212,tv series,year and title match,7.4,713
One of Us,2016,Mystery Programmes,"Georgina Campbell,Joe Dempsie,Adrian Edmondson",5149528,tv mini series,year and actor match,7,6027
The Speed Cubers,2020,Biographical Documentaries,,12038300,movie,year match,7.5,1284
Trolls: The Beat Goes On!,2018,Kids' TV for ages 8 to 10,"Amanda Leighton,Skylar Astin,Sean T. Krishnan",7539608,tv series,year and actor match,5.8,640
Marvel's Iron Fist,2017,Action & Adventure Programmes,"Finn Jones,Jessica Henwick,David Wenham",3322310,tv series,year and actor match,6.5,110876
Father of the Year,2018,Comedies,"David Spade,Nat Faxon,Joey Bragg",7256866,movie,year and actor match,5.2,9475
Chef's Table,2015,Award-winning TV Programmes,David Gelb,4295140,tv series,year and title match,8.6,12669
Crashing,2016,Sitcoms,"Phoebe Waller-Bridge,Jonathan Bailey,Adrian Scarborough",5295524,tv series,year and actor match,7.7,11589
Vagabond,2019,Action & Adventure Programmes,"Lee Seung-gi,Bae Suzy,Shin Sung-rok",8523042,tv series,year and actor match,8.3,2785
Gentefied,2020,Comedy Programmes,"J.J. Soria,Carlos Santos,Karrie Martin",10037034,tv series,year and actor match,7.3,1425
Nappily Ever After,2018,Romantic Dramas,"Sanaa Lathan,Ricky Whittle,Lynn Whitfield",365545,movie,year and actor match,6.4,7463
"Love, Death & Robots",2019,Action & Adventure Programmes,"Topher Grace,Mary Elizabeth Winstead,Gary Cole",9561862,tv series,year and actor match,8.5,87835
The Kissing Booth 2,2020,Teen Comedies,"Joey King,Joel Courtney,Jacob Elordi",9784456,movie,year and actor match,5.9,13250
Brainchild,2018,Kids' TV for ages 8 to 10,"Sahana Srinivasan,Alie Ward,Ben Seidman",9203042,tv series,year and actor match,8.1,276
Queen Sono,2020,Action & Adventure Programmes,"Pearl Thusi,Vuyo Dabula,Loyiso Madinga",9426290,tv series,year and actor match,5.9,847
Llama Llama,2018,Animal Tales,"Jennifer Garner,Shayle Simons,Vania Gill",4781350,tv series,year and actor match,6.3,225
The Haunting of Hill House,2018,TV Programmes Based on Books,"Michiel Huisman,Carla Gugino,Timothy Hutton",6763664,tv series,year and actor match,8.7,151642
Larva Island,2018,Little Kids,"Hong Bum-ki,Eddy Lee,Ahn Hyo-min",9077194,tv series,year and actor match,6.4,292
The Dragon Prince,2018,Kids' TV for ages 11 to 12,"Jack De Sena,Sasha Rojen,Jason Simpson",8688814,tv series,year and actor match,8.4,14543
Busted!,2018,Mystery Programmes,"Yoo Jae-suk,Kim Jong-min,Lee Seung-gi",8328460,tv series,year and actor match,7.5,460
Twogether,2020,Travel & Adventure Reality TV,"Lee Seung-gi,Jasper Liu",12486430,tv series,year and actor match,8.7,167
Disenchantment,2018,Action & Adventure Programmes,"Abbi Jacobson,Eric André,Nat Faxon",5363918,tv series,year and actor match,7.2,40943
The Christmas Chronicles,2018,Comedies,"Kurt Russell,Darby Camp,Judah Lewis",2990140,movie,year and actor match,7.1,42768
Toy Boy,2019,International Programmes,"Jesús Mosquera,Cristina Castaño,María Pedraza",8693266,tv series,year and actor match,6.5,4321
Hello Ninja,2019,Canadian TV Programmes,"Lukas Engel,Zoey Siewert,Sam Vincent",10687170,tv series,year and actor match,7.4,73
3%,2016,Brazilian TV Programmes,"Bianca Comparato,Vaneza Oliveira,Rodolfo Valente",4922804,tv series,year and actor match,7.4,19787
"Coronavirus, Explained",2020,Social & Cultural Documentaries,,12189310,tv mini series,year match,7.7,1237
Hilda,2018,Kids' TV for ages 8 to 10,"Bella Ramsey,Ameerah Falzon-Ojo,Oliver Nelson",6385540,tv series,year and actor match,8.6,5345
Beyond Stranger Things,2017,Stand-up & Chat Shows,"Jim Rash,Matt Duffer,Ross Duffer",7570990,tv series,year and actor match,7.5,1693
The Witcher,2019,Action & Adventure Programmes,"Henry Cavill,Anya Chalotra,Freya Allan",5180504,tv series,year and actor match,8.2,265264
The Great Heist,2020,Spanish-language TV Programmes,"Andrés Parra,Christian Tappan,Marcela Benjumea",12624844,tv series,year and actor match,7.3,210
Churchill’s Secret Agents: The New Recruits,2018,Reality TV,,8268994,tv mini series,year match,7.6,420
Amazing Interiors,2018,Reality TV,,8747342,tv series,year match,6.7,604
Dinotrux Supercharged,2017,Little Kids,"Andrew Francis,Richard Ian Cox,Brian Drummond",7620702,tv series,year and actor match,7.1,67
The Protector,2018,Action & Adventure Programmes,"Çağatay Ulusoy,Ayça Ayşin Turan,Hazar Ergüçlü",7668518,tv series,year and actor match,6.8,30132
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,Sitcoms,"Ellie Kemper,Jane Krakowski,Tituss Burgess",10324166,tv movie,year and actor match,7.3,2017
Marvel's Luke Cage,2016,Action & Adventure Programmes,"Mike Colter,Alfre Woodard,Rosario Dawson",3322314,tv series,year and actor match,7.3,113510
Orange Is the New Black,2013,LGBTQ TV Programmes,"Taylor Schilling,Kate Mulgrew,Laura Prepon",2372162,tv series,year and actor match,8.1,273683
Danger Mouse,2015,Kids' TV for ages 8 to 10,"Alexander Armstrong,Kevin Eldon,Stephen Fry",4196822,tv series,year and actor match,7.1,437
The Letdown,2017,Award-winning TV Programmes,"Alison Bell,Duncan Fellows,Sacha Horler",7320300,tv series,year and actor match,7.5,2509
Brotherhood,2019,Series,"Naruna Costa,Seu Jorge,Hermila Guedes",7220118,movie,year and title match,4.8,110
The Baby-Sitters Club,2020,Kids' TV for ages 8 to 10,"Sophie Grace,Momona Tamada,Shay Rudolph",8690518,tv series,year and actor match,7.4,1666
Dead to Me,2019,Award-winning TV Programmes,"Christina Applegate,Linda Cardellini,James Marsden",8064302,tv series,year and actor match,8,48323
Work It,2020,Teen Comedies,"Sabrina Carpenter,Jordan Fisher,Liza Koshy",10276470,movie,year and actor match,6.2,4293
Giri / Haji,2019,Award-winning TV Programmes,"Takehiro Hira,Kelly Macdonald,Yosuke Kubozuka",8001106,tv series,year and actor match,7.9,7637
Never Have I Ever,2020,Comedy Programmes,"Maitreyi Ramakrishnan,Poorna Jagannathan,Richa Moorjani",10062292,tv series,year and actor match,8,19578
Dear White People,2017,Award-winning TV Programmes,"Logan Browning,Brandon P. Bell,DeRon Horton",5707802,tv series,year and actor match,6.3,21487
"Club de Cuervos Presents: I, Potro",2018,Mexican TV Programmes,"Joaquín Ferreira,Marcela Álvarez,Benjamín Alfonso",9154584,tv movie,year and actor match,6.3,393
Cable Girls,2017,LGBTQ TV Programmes,"Blanca Suárez,Yon González,Ana Fernández",5674718,tv series,year and actor match,7.7,10913
Tall Girl,2019,Teen Romance,"Ava Michelle,Griffin Gluck,Sabrina Carpenter",9252508,movie,year and actor match,5.2,16015
Rise of Empires: Ottoman,2020,Military Documentaries,"Charles Dance,Cem Yiğit Üzümoğlu,Tuba Büyüküstün",9244578,tv mini series,year and actor match,8,15840
Dragons: Race to the Edge,2015,Action & Adventure Programmes,"Jay Baruchel,America Ferrera,Christopher Mintz-Plasse",4816058,tv series,year and actor match,8.3,4411
Dirty Money,2018,Social & Cultural Documentaries,,7889220,tv series,year match,8.1,7307
