media_id,category_id,genre
866,show,Comedy
867,show,Comedy
868,show,Comedy Drama
869,show,Dark Comedy
870,show,Comedy
871,show,Sketch Comedy
872,show,Comedy
873,show,Comedy
874,show,Family Comedy
875,show,Comedy
876,show,Coming Of Age Comedy
877,show,Comedy
878,show,Comedy
879,show,Satirical Comedy
880,show,Family Drama
881,show,Satirical Comedy
882,show,Superhero Action Drama
883,show,Western
884,show,Dark Comedy
885,show,Horror
886,show,Comedy
887,show,Social Thriller Anthology
888,show,Drama
889,show,Science Fiction Thriller
890,show,Drama
891,show,Thriller
892,show,Biopic
893,show,Historical Drama
894,show,Drama
895,show,Drama
896,show,Musical Drama
897,show,Black Comedy Drama
898,show,Science Fantasy Comedy
899,show,Superhero Lgbt Comedy
900,show,Comedy
901,show,Sitcom Television Comedy
902,show,Supernatural Horror
903,show,Science Fiction
904,show,Supernatural
905,show,Musical Fantasy
906,show,Martial Arts
907,show,Crime
908,show,Stop Motion Slice Of Life
909,show,Action
910,show,Martial Arts
911,show,Fantasy
912,show,Supernatural Action
913,show,Science Fiction Action
914,show,Supernatural Comedy
915,show,Fantasy Action
916,show,Fantasy Adventure
917,show,Thriller
918,show,Post Apocalyptic Drama
919,show,Horror Drama
920,show,Political Drama
921,show,Science Fiction Drama
922,show,Horror Drama
923,show,Police Procedural Anthology Series
924,show,Supernatural Drama
925,show,Science Fiction
926,show,Drama
927,show,Police Procedural Anthology Series
928,show,Drama
929,show,Drama
930,show,Drama
931,show,Drama
932,show,Horror
933,show,Drama
934,show,Drama
935,show,Horror
936,show,Espionage Thriller
937,show,Crime Drama
938,show,Crime Drama
939,show,Drama
940,show,Action Comedy
941,show,Comedy
942,show,Science Fiction
943,show,Drama
944,show,Comedy
945,show,Comedy
946,show,Romantic Comedy
947,show,Science Fiction Romance
948,show,Thriller
949,show,Crime Drama Romance
950,show,Mystery Drama
951,show,Spy Thriller
952,show,Science Fiction
953,show,Crime Drama
954,show,Comedy
955,show,Thriller Drama
956,show,Crime Drama
957,show,Comedy Drama
958,show,Science Fiction
959,show,Comedy Drama
960,show,Crime Drama
961,show,Political Drama
962,show,Period Drama
963,show,Drama
964,show,Comedy
965,show,Comedy
966,show,Crime Drama
967,show,Musical
968,show,Crime Anthology Series
969,show,Crime Anthology Series
970,show,Mystery Period Drama
971,show,Drama
972,show,Crime Drama Thriller
973,show,Police Procedural Anthology
974,show,Crime Drama
975,show,Drama
976,show,Crime Drama
977,show,Fantasy Drama
978,show,Supernatural Mystery
979,show,Culinary Art
980,show,Crime Drama
981,show,Comedy
982,show,Culinary Art
983,show,Sport
984,show,Sport
985,show,Culinary Art
986,show,Historical Drama
987,show,Documentary
988,show,Biography
989,show,Sport
990,show,Historical Drama
991,show,Documentary
992,show,Crime Drama
993,show,Documentary
994,show,Documentary
995,show,True Crime
996,show,Biography
997,show,True Crime
998,show,Psychological Drama
999,show,Nature
1000,show,Documentary
1001,show,Documentary
1002,show,Documentary
1003,show,Documentary
1004,show,Sport
1005,show,Sport
1006,show,Documentary
1007,show,Documentary
1008,show,Documentary
1009,show,Documentary
1010,show,History
1011,show,True Crime
1012,show,Docu Series
1013,show,Documentary
1014,show,Travel Documentary
1015,show,Docu Series
