media_id,category_id,imdb_score
355,movie,6.6
356,movie,6.6
357,movie,6.6
358,movie,6.6
359,movie,6.6
360,movie,6.6
361,movie,6.6
362,movie,6.6
363,movie,6.6
364,movie,6.6
365,movie,6.7
366,movie,6.7
367,movie,6.7
368,movie,6.7
369,movie,6.7
370,movie,6.7
371,movie,6.7
372,movie,6.7
373,movie,6.7
374,movie,6.7
375,movie,6.7
376,movie,6.7
377,movie,6.7
378,movie,6.7
379,movie,6.7
380,movie,6.7
381,movie,6.7
382,movie,6.7
383,movie,6.7
384,movie,6.7
385,movie,6.7
386,movie,6.7
387,movie,6.7
388,movie,6.7
389,movie,6.7
390,movie,6.8
391,movie,6.8
392,movie,6.8
393,movie,6.8
394,movie,6.8
395,movie,6.8
396,movie,6.8
397,movie,6.8
398,movie,6.8
399,movie,6.8
400,movie,6.8
401,movie,6.8
402,movie,6.8
403,movie,6.8
404,movie,6.8
405,movie,6.8
406,movie,6.8
407,movie,6.8
408,movie,6.8
409,movie,6.8
410,movie,6.8
411,movie,6.8
412,movie,6.8
413,movie,6.8
414,movie,6.9
415,movie,6.9
416,movie,6.9
417,movie,6.9
418,movie,6.9
419,movie,6.9
420,movie,6.9
421,movie,6.9
422,movie,6.9
423,movie,6.9
424,movie,6.9
425,movie,6.9
426,movie,6.9
427,movie,6.9
428,movie,6.9
429,movie,6.9
430,movie,6.9
431,movie,6.9
432,movie,6.9
433,movie,7.0
434,movie,7.0
435,movie,7.0
436,movie,7.0
437,movie,7.0
438,movie,7.0
439,movie,7.0
440,movie,7.0
441,movie,7.0
442,movie,7.0
443,movie,7.0
444,movie,7.0
445,movie,7.0
446,movie,7.0
447,movie,7.0
448,movie,7.0
449,movie,7.0
450,movie,7.0
451,movie,7.0
452,movie,7.1
453,movie,7.1
454,movie,7.1
455,movie,7.1
456,movie,7.1
457,movie,7.1
458,movie,7.1
459,movie,7.1
460,movie,7.1
461,movie,7.1
462,movie,7.1
463,movie,7.1
464,movie,7.1
465,movie,7.1
466,movie,7.1
467,movie,7.1
468,movie,7.1
469,movie,7.1
470,movie,7.1
471,movie,7.1
472,movie,7.1
473,movie,7.1
474,movie,7.1
475,movie,7.1
476,movie,7.1
477,movie,7.1
478,movie,7.1
479,movie,7.1
480,movie,7.2
481,movie,7.2
482,movie,7.2
483,movie,7.2
484,movie,7.2
485,movie,7.2
486,movie,7.2
487,movie,7.2
488,movie,7.2
489,movie,7.2
490,movie,7.2
491,movie,7.2
492,movie,7.2
493,movie,7.2
494,movie,7.2
495,movie,7.2
496,movie,7.2
497,movie,7.2
498,movie,7.2
499,movie,7.2
500,movie,7.3
501,movie,7.3
502,movie,7.3
503,movie,7.3
504,movie,7.3
505,movie,7.3
506,movie,7.3
507,movie,7.3
508,movie,7.3
509,movie,7.3
510,movie,7.3
511,movie,7.3
512,movie,7.3
513,movie,7.3
514,movie,7.3
515,movie,7.3
516,movie,7.3
517,movie,7.3
518,movie,7.3
519,movie,7.3
520,movie,7.3
521,movie,7.4
522,movie,7.4
523,movie,7.4
524,movie,7.4
525,movie,7.4
526,movie,7.4
527,movie,7.4
528,movie,7.4
529,movie,7.4
530,movie,7.4
531,movie,7.4
532,movie,7.4
533,movie,7.5
534,movie,7.5
535,movie,7.5
536,movie,7.5
537,movie,7.5
538,movie,7.5
539,movie,7.5
540,movie,7.5
541,movie,7.5
542,movie,7.5
543,movie,7.6
544,movie,7.6
545,movie,7.6
546,movie,7.6
547,movie,7.6
548,movie,7.6
549,movie,7.6
550,movie,7.6
551,movie,7.6
552,movie,7.6
553,movie,7.7
554,movie,7.7
555,movie,7.7
556,movie,7.7
557,movie,7.7
558,movie,7.7
559,movie,7.7
560,movie,7.7
561,movie,7.8
562,movie,7.8
563,movie,7.8
564,movie,7.9
565,movie,7.9
566,movie,7.9
567,movie,7.9
568,movie,8.0
569,movie,8.1
570,movie,8.1
571,movie,8.1
572,movie,8.2
573,movie,8.2
574,movie,8.2
575,movie,8.2
576,movie,8.2
577,movie,8.3
578,movie,8.3
579,movie,8.4
580,movie,8.4
581,movie,8.4
582,movie,8.5
583,movie,8.6
584,movie,9.0
